Favoriete onderdeel,Naam,AtleetID,Leeftijd,Land,Geslacht,MaxID,Specialiteit,Humeur,Ervaring,Vorm,Lengte,Gewicht,Resultaten test,Club,Zorg,Kracht,Uithouding,Snelheid,Lenigheid,Springen,Werpen,SP1,SP2
Onbekend,Abejuela Ginés,5613640,17,España,Man,20,Zonder specialiteit,16,1,12,178,79,[],False,6,3,2,3,3,1,3,0,0
Onbekend,Abela Samira,5664844,15,Malta,Vrouw,1380,Werpers,14,1,14,163,59,[],False,20,9,0,1,4,1,0,5,5
Onbekend,Ābele Natālija,5663799,17,Latvija,Vrouw,100,Zonder specialiteit,17,1,14,169,63,[],False,9,2,2,2,3,2,6,0,0
Onbekend,Ablanedo Cecilia,5663981,16,España,Vrouw,610,Zonder specialiteit,20,1,15,172,68,[],False,16,7,2,7,1,2,1,0,0
Onbekend,Ablanedo Miren,5570975,17,España,Vrouw,860,Sprinters,20,2,20,166,71,"[('100 meter', '14.91 s', '638', 10), ('200 meter', '29.73 s', '602', 10), ('400 meter', '1:08.33', '636', 10), ('100 meter horden', '21.21 s', '656', 10), ('400 meter horden', '1:17.80', '718', 10)]",False,9,1,1,7,1,1,4,9,6
Onbekend,Abrahamian Vanessa,5664792,15,Sverige,Vrouw,350,Zonder specialiteit,16,1,14,170,63,[],False,16,4,1,1,1,1,1,0,0
Onbekend,Abramović Đorđe,5666353,17,Srbija,Man,1360,Zonder specialiteit,18,1,15,162,60,[],False,19,1,1,4,9,7,0,0,0
Onbekend,Abreu Mercedes,5654187,17,Uruguay,Vrouw,1020,Werpers,18,1,14,166,61,"[('Kogelstoten', '3.85 m', '0', 9), ('Discuswerpen', '18.01 m', '0', 9), ('Kogelslingeren', '17.05 m', '0', 9), ('Speerwerpen', '16.95 m', '0', 9)]",False,10,3,1,2,9,0,2,8,7
Onbekend,Abugeau Annette,5660665,15,France,Vrouw,360,Snelwandelaars,18,1,14,161,54,"[('10 km snelwandelen', '1h:08:39.91', '599', 10), ('20 km snelwandelen', '2h:19:07.20', '557', 10), ('50 km snelwandelen', '5h:41:59.11', '522', 10)]",False,9,1,7,1,6,3,5,6,6
Onbekend,Aceti Bruno,5665778,15,Italia,Man,910,Zonder specialiteit,13,1,15,176,71,[],False,20,1,3,1,5,2,1,0,0
Onbekend,Acevedo Lily,5664234,16,United States,Vrouw,1570,Springers,12,1,14,154,51,"[('Hoogspringen', '0.57 m', '0', 10), ('Polsstokhoogspringen', '1.34 m', '0', 10), ('Verspringen', '2.15 m', '0', 10), ('Hinkstapspringen', '3.88 m', '0', 10)]",False,20,3,2,3,2,8,1,6,7
Onbekend,Acevedo Wilmer,5666281,23,Costa Rica,Man,210,Zonder specialiteit,11,1,15,183,86,[],False,7,1,2,6,7,2,3,0,0
Onbekend,Acosta Irati,5636422,17,España,Vrouw,880,Werpers,20,1,18,170,73,"[('Kogelstoten', '7.58 m', '28', 9), ('Discuswerpen', '27.23 m', '63', 9), ('Kogelslingeren', '24.66 m', '51', 9), ('Speerwerpen', '23.46 m', '102', 9)]",False,12,6,1,3,0,2,9,7,6
100 meter,Adamska Julia,5008217,34,Polska,Vrouw,13840,Sprinters,17,9,17,166,53,"[('100 meter', '13.89 s', '818', 10), ('200 meter', '28.35 s', '726', 10), ('400 meter', '1:03.42', '826', 10), ('100 meter horden', '20.23 s', '777', 10), ('400 meter horden', '1:15.60', '790', 10)]",False,16,4,0,17,0,0,0,5,5
Onbekend,Ādamsons Rihards,5665982,15,Latvija,Man,380,Zonder specialiteit,20,1,15,158,57,[],False,15,2,1,1,7,2,3,0,0
Onbekend,Adán Juana,5648400,17,España,Vrouw,1510,Springers,19,1,13,176,70,"[('Hoogspringen', '0.75 m', '69', 10), ('Polsstokhoogspringen', '1.76 m', '90', 10), ('Verspringen', '2.53 m', '95', 10), ('Hinkstapspringen', '4.99 m', '89', 10)]",False,18,3,0,0,3,10,2,7,8
Onbekend,Addison Christopher,5664495,15,Great Britain,Man,400,Springers,17,1,15,173,69,"[('Hoogspringen', '0.67 m', '0', 10), ('Polsstokhoogspringen', '1.83 m', '0', 10), ('Verspringen', '2.81 m', '30', 10), ('Hinkstapspringen', '5.04 m', '0', 10)]",False,11,1,1,2,1,8,3,6,6
Onbekend,Ader Triin,5663861,15,Eesti,Vrouw,600,Zonder specialiteit,17,1,15,169,64,[],False,8,2,3,3,3,9,2,0,0
Onbekend,Adiele Kinah,5666287,18,Nigeria,Vrouw,860,Zonder specialiteit,13,1,15,183,73,[],False,19,3,7,1,3,1,2,0,0
Vijfkamp Vrouwen,Adolfsson Emelie,5155901,32,Sverige,Vrouw,150,Meerkampers,11,8,13,172,79,"[('Vijfkamp Vrouwen - 100 meter horden', '21.97 s', '512', 10), ('Vijfkamp Vrouwen - Hoogspringen', '0.28 m', '183', 10), ('Vijfkamp Vrouwen - Kogelstoten', '3.67 m', '215', 10), ('Vijfkamp Vrouwen - Verspringen', '1.23 m', '236', 10), ('Vijfkamp Vrouwen - 800 meter', '2:50.10', '480', 10), ('Zevenkamp - 100 meter horden', '22.36 s', '459', 10), ('Zevenkamp - Hoogspringen', '0.27 m', '176', 10), ('Zevenkamp - Kogelstoten', '3.66 m', '215', 10), ('Zevenkamp - 200 meter', '31.60 s', '295', 10), ('Zevenkamp - Verspringen', '1.16 m', '223', 10), ('Zevenkamp - Speerwerpen', '12.05 m', '254', 10), ('Zevenkamp - 800 meter', '2:54.50', '402', 10), ('Vijfkamp Vrouwen', '1626 p', '325', 10), ('Zevenkamp', '2024 p', '289', 10)]",False,6,4,0,2,0,0,2,4,2
Onbekend,Afinogenova Pelageya,5664998,22,Rossiya,Vrouw,1610,Zonder specialiteit,14,1,14,160,61,[],False,19,5,2,0,10,1,3,0,0
Onbekend,Afolabi Adesimbo,5665507,18,Nigeria,Vrouw,270,Zonder specialiteit,20,1,15,165,64,[],False,8,2,8,2,3,3,1,0,0
Onbekend,Agius Tyler,5592426,18,Malta,Man,1280,Middenafstandslopers,19,3,18,177,82,"[('800 meter', '2:23.06', '708', 10), ('1.500 meter', '4:43.89', '705', 10), ('3.000 meter steeplechase', '14:09.11', '704', 10)]",False,18,2,7,7,4,1,0,8,7
Onbekend,Agnantopoulos Elissaios,5652390,16,Hellas,Man,800,Sprinters,15,1,14,179,81,"[('100 meter', '13.77 s', '629', 10), ('200 meter', '27.63 s', '658', 10), ('400 meter', '1:01.48', '698', 10), ('110 meter horden', '20.57 s', '702', 10), ('400 meter horden', '1:10.69', '745', 10)]",False,14,3,0,8,7,1,3,4,8
Onbekend,Agodirin Ifetayo,5665335,17,Nigeria,Vrouw,1390,Zonder specialiteit,11,1,14,159,55,[],False,17,4,10,8,3,3,1,0,0
Onbekend,Agoni Alice,5642007,15,Italia,Vrouw,2260,Meerkampers,15,1,17,150,51,"[('Vijfkamp Vrouwen - 100 meter horden', '21.87 s', '526', 10), ('Vijfkamp Vrouwen - Hoogspringen', '0.71 m', '465', 10), ('Vijfkamp Vrouwen - Kogelstoten', '5.31 m', '312', 10), ('Vijfkamp Vrouwen - Verspringen', '2.47 m', '475', 10), ('Vijfkamp Vrouwen - 800 meter', '2:49.74', '486', 10), ('Zevenkamp - 100 meter horden', '21.65 s', '556', 10), ('Zevenkamp - Hoogspringen', '0.70 m', '458', 10), ('Zevenkamp - Kogelstoten', '5.28 m', '310', 10), ('Zevenkamp - 200 meter', '30.38 s', '418', 10), ('Zevenkamp - Verspringen', '2.56 m', '492', 10), ('Zevenkamp - Speerwerpen', '15.47 m', '326', 10), ('Zevenkamp - 800 meter', '2:49.94', '483', 10), ('Vijfkamp Vrouwen', '2264 p', '453', 10), ('Zevenkamp', '3043 p', '435', 10)]",False,17,8,1,3,0,10,1,8,8
Onbekend,Agourram Amina,5665506,23,Al-Maghrib,Vrouw,310,Zonder specialiteit,12,1,14,179,69,[],False,6,2,8,0,1,3,2,0,0
Onbekend,Agramunt Beatriz,5664442,17,España,Vrouw,170,Zonder specialiteit,16,1,14,170,63,[],False,13,0,2,3,2,3,4,0,0
Onbekend,Agramunt Carolina,5665513,16,España,Vrouw,90,Zonder specialiteit,12,1,15,153,49,[],False,11,2,2,1,3,3,4,0,0
Onbekend,Agrawal Apacita,5666317,15,India,Man,300,Zonder specialiteit,11,1,15,161,56,[],False,11,2,0,2,1,3,8,0,0
Onbekend,Águas Arcádio,5662812,17,Portugal,Man,580,Zonder specialiteit,15,1,15,169,73,[],False,15,2,2,2,7,3,8,0,0
Onbekend,Aguiar Agustina,5664881,17,Portugal,Vrouw,830,Zonder specialiteit,19,1,15,171,64,[],False,11,3,8,3,3,1,9,0,0
Onbekend,Aguilar Ana Rosa,5666175,19,Chile,Vrouw,650,Zonder specialiteit,20,1,15,178,69,[],False,16,3,3,8,7,4,1,0,0
Onbekend,Aguilar Ángelo,5664322,17,Ecuador,Man,240,Zonder specialiteit,19,1,15,171,67,[],False,15,0,3,3,2,2,3,0,0
Onbekend,Aguilera Abigail,5665971,17,España,Vrouw,760,Zonder specialiteit,17,1,15,153,50,[],False,13,0,3,2,3,2,10,0,0
Onbekend,Aguirre David,5664373,18,Ecuador,Man,60,Zonder specialiteit,20,1,14,162,63,[],False,7,3,2,5,2,3,2,0,0
Onbekend,Aguirre Eréndira,5664340,18,Colombia,Vrouw,850,Zonder specialiteit,18,1,14,169,65,[],False,19,3,2,6,4,3,1,0,0
Onbekend,Aguirre Leon,5665663,20,Uruguay,Man,170,Zonder specialiteit,20,1,14,192,91,[],False,12,6,4,2,3,5,1,0,0
100 meter,Åhman Vincent,4726288,40,Sverige,Man,12060,Sprinters,14,16,13,185,66,"[('100 meter', '12.55 s', '863', 10), ('200 meter', '25.66 s', '844', 10), ('400 meter', '57.30 s', '873', 10), ('110 meter horden', '19.87 s', '789', 10), ('400 meter horden', '1:08.16', '836', 10)]",False,17,7,0,15,0,0,0,10,4
Onbekend,Ahmed Dirghadanstra,5665595,19,India,Man,320,Zonder specialiteit,11,1,15,166,65,[],False,9,1,3,8,1,2,3,0,0
Onbekend,Aikhionbare Olawutobi,5665427,22,Nigeria,Man,1220,Zonder specialiteit,20,1,14,180,73,[],False,17,3,2,10,2,7,1,0,0
Onbekend,Aires Bruno,5662432,17,Portugal,Man,1620,Springers,13,1,16,163,65,"[('Hoogspringen', '0.78 m', '39', 10), ('Polsstokhoogspringen', '2.18 m', '52', 10), ('Verspringen', '3.15 m', '103', 10), ('Hinkstapspringen', '5.79 m', '32', 10)]",False,14,0,3,1,3,10,1,9,3
Onbekend,Airolo Nàdia,5590811,17,España,Vrouw,1250,Springers,20,2,20,165,68,"[('Hoogspringen', '0.65 m', '0', 10), ('Polsstokhoogspringen', '1.61 m', '34', 10), ('Verspringen', '2.63 m', '122', 10), ('Hinkstapspringen', '4.95 m', '84', 10)]",False,19,2,1,5,4,5,3,6,8
Onbekend,Aixalà Reyes,5656861,17,España,Vrouw,630,Werpers,17,1,16,171,66,"[('Kogelstoten', '7.87 m', '51', 9), ('Discuswerpen', '28.03 m', '82', 9), ('Kogelslingeren', '24.38 m', '44', 9), ('Speerwerpen', '23.66 m', '108', 9)]",False,6,9,1,4,3,2,7,5,5
Onbekend,Aizpuru Adelia,5562430,17,España,Vrouw,440,Middenafstandslopers,20,3,19,177,85,"[('800 meter', '2:47.60', '514', 10), ('1.500 meter', '5:37.24', '493', 10), ('3.000 meter steeplechase', '17:52.47', '563', 10)]",False,15,3,3,2,3,1,2,5,5
Onbekend,Akagi Aiko,5666145,18,Nippon,Vrouw,370,Zonder specialiteit,18,1,15,176,72,[],False,7,3,3,3,3,1,9,0,0
Onbekend,Akerfelt Teodor,5628013,17,Sverige,Man,470,Meerkampers,19,1,15,181,85,"[('Vijfkamp Mannen - Verspringen', '2.72 m', '425', 10), ('Vijfkamp Mannen - Speerwerpen', '24.02 m', '386', 10), ('Vijfkamp Mannen - 200 meter', '27.89 s', '558', 10), ('Vijfkamp Mannen - Discuswerpen', '20.63 m', '348', 10), ('Vijfkamp Mannen - 1500 meter', '4:59.16', '487', 10), ('Tienkamp - 100 meter', '14.06 s', '499', 10), ('Tienkamp - Verspringen', '2.75 m', '430', 10), ('Tienkamp - Kogelstoten', '5.63 m', '318', 10), ('Tienkamp - Hoogspringen', '0.61 m', '363', 10), ('Tienkamp - 400 meter', '1:02.04', '596', 10), ('Tienkamp - 110 meter horden', '21.12 s', '521', 10), ('Tienkamp - Discuswerpen', '20.70 m', '349', 10), ('Tienkamp - Polsstokhoogspringen', '1.67 m', '352', 10), ('Tienkamp - Speerwerpen', '23.99 m', '385', 10), ('Tienkamp - 1500 meter', '4:57.05', '508', 10), ('Vijfkamp Mannen', '2204 p', '441', 10), ('Tienkamp', '4321 p', '432', 10)]",False,14,5,4,5,3,3,2,7,5
Onbekend,Aktas Cagdas,5665304,19,Türkiye,Vrouw,180,Zonder specialiteit,17,1,14,165,58,[],False,14,1,3,2,2,3,2,0,0
Marathon,Alagan Ah,4855683,37,Malaysia,Man,14990,Langeafstandslopers,17,16,16,189,73,"[('5.000 meter', '16:18.44', '759', 10), ('10.000 meter', '38:15.85', '716', 10), ('Marathon', '2h:30:05.25', '864', 10)]",False,20,0,14,2,0,0,0,12,9
Onbekend,Alaja Vesa,5664232,15,Suomi,Man,100,Zonder specialiteit,20,1,14,166,64,[],False,6,3,5,1,6,3,1,0,0
Onbekend,Alanis Ana,5546961,17,España,Vrouw,920,Middenafstandslopers,20,3,15,188,88,"[('800 meter', '2:47.42', '516', 10), ('1.500 meter', '5:36.28', '501', 10), ('3.000 meter steeplechase', '17:38.95', '597', 10)]",False,14,2,1,3,6,1,1,8,8
Onbekend,Alantala Dhmhtra,5665124,17,Hellas,Vrouw,1260,Zonder specialiteit,18,1,14,156,51,[],False,7,4,2,9,2,10,3,0,0
Onbekend,Alaviano Gregorio,5664553,16,España,Man,1900,Zonder specialiteit,12,1,15,167,63,[],False,20,2,3,3,3,2,10,0,0
Hoogspringen,Albaladejo Gabriel,5487649,31,España,Man,1940,Springers,20,3,16,187,77,"[('Hoogspringen', '0.91 m', '141', 10), ('Polsstokhoogspringen', '2.40 m', '115', 10), ('Verspringen', '3.35 m', '147', 10), ('Hinkstapspringen', '6.64 m', '122', 10)]",False,16,0,0,1,4,8,0,4,11
Onbekend,Albarrán Juan Diego,5665856,17,El Salvador,Man,550,Snelwandelaars,18,1,15,184,84,"[('10 km snelwandelen', '1h:04:06.01', '538', 10), ('20 km snelwandelen', '2h:05:22.09', '533', 10), ('50 km snelwandelen', '5h:20:52.51', '466', 10)]",False,8,3,3,2,7,1,1,7,7
Onbekend,Albert Brayden,5643638,17,United States,Man,1180,Werpers,13,1,18,171,76,"[('Kogelstoten', '5.90 m', '0', 9), ('Discuswerpen', '23.84 m', '0', 9), ('Kogelslingeren', '23.17 m', '0', 9), ('Speerwerpen', '26.93 m', '16', 9)]",False,8,2,2,1,2,3,10,4,7
Onbekend,Albertyn Steve,5664310,21,South Africa,Man,820,Zonder specialiteit,16,1,14,180,81,[],False,17,2,1,9,3,2,1,0,0
Speerwerpen,Albritton Lauren,5209992,27,United States,Vrouw,18160,Werpers,20,6,15,181,76,"[('Kogelstoten', '13.07 m', '467', 9), ('Discuswerpen', '48.14 m', '555', 9), ('Kogelslingeren', '44.36 m', '554', 9), ('Speerwerpen', '43.09 m', '670', 9)]",False,17,7,1,2,8,1,18,11,12
Onbekend,Alcalde Valentín,5664024,15,México,Man,820,Zonder specialiteit,15,1,14,170,68,[],False,12,3,10,3,1,2,2,0,0
Onbekend,Alcañiz Marisol,5624532,17,España,Vrouw,340,Middenafstandslopers,15,1,19,167,72,"[('800 meter', '2:49.23', '487', 10), ('1.500 meter', '5:36.49', '499', 10), ('3.000 meter steeplechase', '17:51.65', '565', 10)]",False,7,5,2,3,1,6,5,7,3
Onbekend,Aldrich Nicholas,5664831,15,United States,Man,120,Zonder specialiteit,11,1,15,172,70,[],False,8,1,1,1,2,6,2,0,0
Onbekend,Alemán Diana,5665612,24,Costa Rica,Vrouw,710,Zonder specialiteit,13,1,14,179,74,[],False,8,1,4,3,10,3,1,0,0
Onbekend,Alert Zuriñe,5647561,17,España,Vrouw,960,Werpers,19,1,13,172,71,"[('Kogelstoten', '6.10 m', '0', 9), ('Discuswerpen', '22.95 m', '0', 9), ('Kogelslingeren', '19.64 m', '0', 9), ('Speerwerpen', '19.75 m', '0', 9)]",False,8,4,1,1,1,3,10,4,5
Onbekend,Aletá Noel,5664435,17,España,Man,60,Zonder specialiteit,15,1,14,169,71,[],False,6,1,3,3,2,1,4,0,0
Onbekend,Alexandersen Alexander,5664820,17,Danmark,Man,380,Zonder specialiteit,18,1,15,169,72,[],False,6,3,8,1,3,7,2,0,0
Onbekend,Alexeyev Spiridon,5664345,15,Rossiya,Man,200,Zonder specialiteit,15,1,14,166,64,[],False,7,2,3,1,0,7,2,0,0
Onbekend,Alfaro Hernán,5663887,20,El Salvador,Man,370,Zonder specialiteit,20,1,14,184,83,[],False,10,1,1,6,2,1,8,0,0
Onbekend,Alfaro Natalia,5666019,18,Costa Rica,Vrouw,400,Zonder specialiteit,16,1,15,181,72,[],False,16,3,1,2,2,5,1,0,0
Onbekend,Alfaro Vicente,5666320,21,El Salvador,Man,1340,Zonder specialiteit,12,1,15,180,80,[],False,20,4,3,8,3,8,2,0,0
Onbekend,Alfasi Leah,5666201,19,Yisra'el,Vrouw,430,Zonder specialiteit,14,1,15,169,62,[],False,12,1,9,2,1,1,3,0,0
Onbekend,Alfonso Fabiola,5664175,22,Venezuela,Vrouw,1000,Zonder specialiteit,15,1,14,180,78,[],False,13,2,9,1,9,2,0,0,0
Onbekend,Algaba Garazi,5593782,17,España,Vrouw,1720,Springers,20,2,17,177,79,"[('Hoogspringen', '0.88 m', '182', 10), ('Polsstokhoogspringen', '1.98 m', '174', 10), ('Verspringen', '3.02 m', '226', 10), ('Hinkstapspringen', '5.62 m', '173', 10)]",False,14,3,3,2,4,11,6,7,6
Onbekend,Alichino Gaetano,5554138,19,Italia,Man,1320,Langeafstandslopers,20,1,17,175,73,"[('5.000 meter', '17:52.35', '518', 10), ('10.000 meter', '41:06.12', '526', 10), ('Marathon', '2h:46:47.05', '596', 10)]",False,16,1,10,2,2,6,3,5,5
Onbekend,Aliende Zoe,5665355,15,España,Vrouw,240,Zonder specialiteit,14,1,14,147,43,[],False,15,3,1,1,3,4,2,0,0
Onbekend,Alimpil Jordi,5657411,23,Switzerland,Man,1190,Springers,18,1,16,169,72,"[('Hoogspringen', '0.92 m', '149', 10), ('Polsstokhoogspringen', '2.66 m', '191', 10), ('Verspringen', '3.73 m', '229', 10), ('Hinkstapspringen', '7.29 m', '190', 10)]",False,12,2,0,4,7,10,2,4,4
Onbekend,Alison Oluyemi,5664058,23,Nigeria,Man,150,Zonder specialiteit,12,1,14,188,88,[],False,12,6,3,1,1,3,4,0,0
Onbekend,Alkorta Montse,5582154,17,España,Vrouw,900,Werpers,20,1,16,181,82,"[('Kogelstoten', '7.94 m', '57', 9), ('Discuswerpen', '30.45 m', '139', 9), ('Kogelslingeren', '26.43 m', '96', 9), ('Speerwerpen', '25.46 m', '160', 9)]",False,13,8,4,2,8,1,3,5,8
110 meter horden,Allain Didier,5427832,23,France,Man,1050,Sprinters,20,5,18,177,71,"[('100 meter', '13.66 s', '650', 10), ('200 meter', '27.09 s', '709', 10), ('400 meter', '1:00.23', '751', 10), ('110 meter horden', '19.56 s', '828', 10), ('400 meter horden', '1:08.60', '820', 10)]",False,14,3,2,9,9,3,3,6,4
Onbekend,Allas Uku,5665461,15,Eesti,Man,110,Zonder specialiteit,18,1,15,176,74,[],False,6,2,1,3,2,6,4,0,0
Onbekend,Allende Enrique,5537957,17,España,Man,2090,Snelwandelaars,20,2,19,188,103,"[('10 km snelwandelen', '1h:01:30.85', '648', 10), ('20 km snelwandelen', '1h:59:47.37', '654', 10), ('50 km snelwandelen', '4h:59:14.03', '655', 10)]",False,7,2,11,1,2,3,2,9,7
Onbekend,Almansa Maitane,5653929,17,España,Vrouw,480,Langeafstandslopers,17,1,17,154,54,"[('5.000 meter', '21:12.42', '491', 10), ('10.000 meter', '46:32.49', '465', 10), ('Marathon', '3h:13:39.01', '534', 10)]",False,15,2,8,2,2,1,1,5,4
Onbekend,Almeida Sílvia,5665568,17,Portugal,Vrouw,1680,Springers,17,1,15,174,67,"[('Hoogspringen', '0.84 m', '147', 10), ('Polsstokhoogspringen', '2.02 m', '189', 10), ('Verspringen', '2.88 m', '189', 10), ('Hinkstapspringen', '5.83 m', '201', 10)]",False,16,3,1,2,5,10,2,7,9
Onbekend,Almonte Baltasar,5665991,16,México,Man,330,Zonder specialiteit,19,1,15,174,75,[],False,13,1,4,1,8,2,5,0,0
Onbekend,Alniacik Cihangir,5665396,15,Türkiye,Man,260,Zonder specialiteit,15,1,15,163,69,[],False,11,5,7,5,1,2,2,0,0
Onbekend,Aloisio Georgia,5666289,24,Malta,Vrouw,1540,Zonder specialiteit,13,1,15,173,71,[],False,20,1,10,1,2,2,2,0,0
Onbekend,Aloisio Harold,5665767,17,Malta,Man,280,Zonder specialiteit,13,1,14,175,75,[],False,10,4,2,3,2,8,6,0,0
Onbekend,Altdorf Vinzenz,5610240,17,Deutschland,Man,1400,Middenafstandslopers,14,1,15,182,87,"[('800 meter', '2:20.81', '748', 10), ('1.500 meter', '4:42.56', '717', 10), ('3.000 meter steeplechase', '14:05.50', '714', 10)]",False,6,2,8,9,2,2,1,9,7
Onbekend,Altés Florencio,5611858,17,España,Man,1010,Sprinters,20,1,15,178,82,"[('100 meter', '13.44 s', '692', 10), ('200 meter', '27.18 s', '700', 10), ('400 meter', '1:00.22', '751', 10), ('110 meter horden', '20.45 s', '717', 10), ('400 meter horden', '1:10.30', '759', 10)]",False,10,5,0,10,5,2,3,5,6
Onbekend,Altobelli Laura,5643447,17,Italia,Vrouw,530,Sprinters,15,1,16,166,68,"[('100 meter', '15.15 s', '596', 10), ('200 meter', '30.31 s', '550', 10), ('400 meter', '1:09.25', '601', 10), ('100 meter horden', '21.77 s', '587', 10), ('400 meter horden', '1:18.95', '680', 10)]",False,6,9,4,3,2,3,3,5,6
Onbekend,Alvarado Mateo,5666292,16,Argentina,Man,560,Zonder specialiteit,15,1,15,156,55,[],False,15,2,3,3,9,3,1,0,0
200 meter,Alvarenga Melissa,4893715,35,Portugal,Vrouw,18050,Sprinters,20,16,16,183,84,"[('100 meter', '13.38 s', '908', 10), ('200 meter', '26.29 s', '910', 10), ('400 meter', '1:01.13', '914', 10), ('100 meter horden', '19.62 s', '852', 10), ('400 meter horden', '1:12.70', '885', 10)]",False,13,8,0,17,0,0,0,9,8
Onbekend,Alves Diana,5571197,17,Brasil,Vrouw,1580,Langeafstandslopers,20,1,14,181,85,"[('5.000 meter', '20:51.07', '537', 10), ('10.000 meter', '45:18.82', '539', 10), ('Marathon', '3h:11:51.53', '559', 10)]",False,18,1,10,1,3,1,2,7,5
100 meter horden,Amachaibou Fatima,4852026,37,Al-Maghrib,Vrouw,9570,Sprinters,18,15,14,167,58,"[('100 meter', '13.91 s', '815', 10), ('200 meter', '27.60 s', '793', 10), ('400 meter', '1:03.83', '810', 10), ('100 meter horden', '19.58 s', '857', 10), ('400 meter horden', '1:13.04', '874', 10)]",False,18,5,0,13,5,0,0,10,10
