Favoriete onderdeel,Naam,AtleetID,Leeftijd,Land,Geslacht,MaxID,Specialiteit,Humeur,Ervaring,Vorm,Lengte,Gewicht,Resultaten test,Club,Zorg,Kracht,Uithouding,Snelheid,Lenigheid,Springen,Werpen,SP1,SP2
20 km snelwandelen,Abbondanzieri Carlos,5156255,35,Argentina,Man,10000,Snelwandelaars,17,14,17,167,48,"[('10 km snelwandelen', '58:11.01', '790', 0), ('20 km snelwandelen', '1h:49:17.95', '883', 0), ('50 km snelwandelen', '4h:44:24.25', '785', 0)]",False,17,0,15,2,6,0,0,9,6
Onbekend,Abbott Caitlin,5539086,18,United States,Vrouw,3900,Sprinters,19,2,15,176,82,"[('100 meter', '14.42 s', '725', 0), ('200 meter', '28.33 s', '728', 0), ('400 meter', '1:05.11', '760', 0), ('100 meter horden', '20.53 s', '740', 0), ('400 meter horden', '1:14.48', '827', 0)]",False,11,4,3,14,3,2,1,5,8
Onbekend,Abdelaziz Nefertum,5666682,20,Miṣr,Man,180,Zonder specialiteit,17,1,15,174,75,[],False,12,3,5,1,6,1,0,0,0
Onbekend,Abejuela Ginés,5613640,18,España,Man,20,Zonder specialiteit,16,1,12,178,79,[],False,6,3,2,3,3,1,3,0,0
Onbekend,Abela Samira,5664844,16,Malta,Vrouw,1380,Werpers,14,1,14,163,59,"[('Kogelstoten', '5.53 m', '0', 0), ('Discuswerpen', '20.48 m', '0', 0), ('Kogelslingeren', '16.75 m', '0', 0), ('Speerwerpen', '15.81 m', '0', 0)]",False,20,9,0,1,4,1,0,5,5
10.000 meter,Abelairas Pilar,5412678,22,Argentina,Vrouw,5120,Langeafstandslopers,20,4,17,187,91,"[('5.000 meter', '19:57.58', '654', 0), ('10.000 meter', '42:15.32', '723', 0), ('Marathon', '3h:01:08.85', '710', 0)]",False,7,1,14,2,2,1,2,9,8
Onbekend,Abeylegesse Nesrin,5666716,18,Türkiye,Vrouw,930,Zonder specialiteit,13,1,15,163,58,[],False,19,1,2,2,2,3,8,0,0
100 meter,Ablanedo Miren,5570975,18,España,Vrouw,860,Sprinters,20,2,20,166,71,"[('100 meter', '14.91 s', '638', 0), ('200 meter', '29.73 s', '602', 0), ('400 meter', '1:08.33', '636', 0), ('100 meter horden', '21.21 s', '656', 0), ('400 meter horden', '1:17.80', '718', 0)]",False,9,1,1,7,1,1,4,9,6
Onbekend,Abrahamian Vanessa,5664792,16,Sverige,Vrouw,350,Zonder specialiteit,16,1,14,170,63,[],False,16,4,1,1,1,1,1,0,0
10.000 meter,Abrego Concha,5487640,25,España,Vrouw,3120,Langeafstandslopers,20,3,13,165,55,"[('5.000 meter', '20:04.64', '639', 0), ('10.000 meter', '42:35.34', '703', 0), ('Marathon', '3h:02:53.80', '685', 0)]",False,18,3,12,9,3,1,2,7,6
Onbekend,Abreu Mercedes,5654187,18,Uruguay,Vrouw,1020,Werpers,18,1,14,166,61,"[('Kogelstoten', '3.72 m', '0', 0), ('Discuswerpen', '17.59 m', '0', 0), ('Kogelslingeren', '16.46 m', '0', 0), ('Speerwerpen', '16.06 m', '0', 0)]",False,10,3,1,2,9,0,2,8,7
Onbekend,Abrunhosa César,5448737,21,Portugal,Man,1340,Middenafstandslopers,20,2,11,184,98,"[('800 meter', '2:26.98', '638', 0), ('1.500 meter', '4:51.43', '637', 0), ('3.000 meter steeplechase', '14:34.47', '627', 0)]",False,10,10,9,5,1,3,2,5,8
Onbekend,Abugeau Annette,5660665,16,France,Vrouw,360,Snelwandelaars,18,1,14,161,54,"[('10 km snelwandelen', '1h:08:39.91', '599', 0), ('20 km snelwandelen', '2h:19:07.20', '557', 0), ('50 km snelwandelen', '5h:41:59.11', '522', 0)]",False,9,1,7,1,6,3,5,6,6
Onbekend,Aceituno Elio,5589224,18,España,Man,510,Middenafstandslopers,20,1,15,182,91,"[('800 meter', '2:27.59', '627', 0), ('1.500 meter', '4:54.51', '609', 0), ('3.000 meter steeplechase', '14:46.84', '590', 0)]",False,16,6,3,6,2,3,3,6,6
Onbekend,Aceti Bruno,5665778,16,Italia,Man,910,Zonder specialiteit,13,1,15,176,71,[],False,20,1,3,1,5,2,1,0,0
Onbekend,Acevedo Lily,5664234,17,United States,Vrouw,1570,Springers,12,1,14,154,51,"[('Hoogspringen', '0.57 m', '0', 0), ('Polsstokhoogspringen', '1.34 m', '0', 0), ('Verspringen', '2.15 m', '0', 0), ('Hinkstapspringen', '3.88 m', '0', 0)]",False,20,3,2,3,2,8,1,6,7
Onbekend,Acevedo Wilmer,5666281,24,Costa Rica,Man,210,Zonder specialiteit,11,1,15,183,86,[],False,7,1,2,6,7,2,3,0,0
Marathon,Acker Sascha,5453402,23,Deutschland,Man,4060,Langeafstandslopers,20,4,18,172,70,"[('5.000 meter', '16:48.60', '682', 0), ('10.000 meter', '38:58.04', '669', 0), ('Marathon', '2h:35:51.97', '771', 0)]",False,13,5,12,4,0,3,7,11,8
Onbekend,Acosta Elena,5125997,31,Uruguay,Vrouw,11510,Springers,17,10,11,181,67,"[('Hoogspringen', '1.29 m', '537', 0), ('Polsstokhoogspringen', '3.05 m', '579', 0), ('Verspringen', '4.09 m', '511', 0), ('Hinkstapspringen', '8.69 m', '584', 0)]",False,17,1,0,2,13,15,1,9,8
Onbekend,Acosta Irati,5636422,18,España,Vrouw,880,Werpers,20,1,18,170,73,"[('Kogelstoten', '7.70 m', '38', 0), ('Discuswerpen', '28.05 m', '83', 0), ('Kogelslingeren', '24.60 m', '50', 0), ('Speerwerpen', '24.48 m', '131', 0)]",False,12,6,1,3,0,2,9,7,6
Onbekend,Ács Jusztina,5229437,27,Magyarország,Vrouw,3980,Sprinters,16,5,11,182,88,"[('100 meter', '14.38 s', '732', 0), ('200 meter', '28.37 s', '724', 0), ('400 meter', '1:05.78', '735', 0), ('100 meter horden', '20.53 s', '752', 0), ('400 meter horden', '1:14.71', '819', 0)]",False,9,3,3,12,3,1,1,11,9
Onbekend,Adam Haruna,5627905,16,Nigeria,Vrouw,2130,Sprinters,17,1,15,177,74,"[('100 meter', '14.50 s', '711', 0), ('200 meter', '28.98 s', '669', 0), ('400 meter', '1:05.73', '737', 0), ('100 meter horden', '20.49 s', '745', 0), ('400 meter horden', '1:16.48', '761', 0)]",False,14,3,2,12,3,2,2,7,5
Onbekend,Ādamsons Rihards,5665982,16,Latvija,Man,380,Zonder specialiteit,20,1,15,158,57,[],False,15,2,1,1,7,2,3,0,0
Onbekend,Addison Christopher,5664495,16,Great Britain,Man,400,Springers,17,1,15,173,69,"[('Hoogspringen', '0.67 m', '0', 0), ('Polsstokhoogspringen', '1.83 m', '0', 0), ('Verspringen', '2.81 m', '30', 0), ('Hinkstapspringen', '5.04 m', '0', 0)]",False,11,1,1,2,1,8,3,6,6
Onbekend,Adell Noemi,5597517,18,España,Vrouw,1990,Snelwandelaars,14,1,15,162,69,"[('10 km snelwandelen', '1h:05:05.63', '738', 0), ('20 km snelwandelen', '2h:11:50.08', '699', 0), ('50 km snelwandelen', '5h:21:21.68', '688', 0)]",False,15,3,11,3,7,3,2,6,8
Onbekend,Adiele Kinah,5666287,19,Nigeria,Vrouw,860,Zonder specialiteit,13,1,15,183,73,[],False,19,3,7,1,3,1,2,0,0
Verspringen,Adler Franziska,5303712,31,Österreich,Vrouw,4820,Springers,20,7,20,183,71,"[('Hoogspringen', '1.01 m', '294', 0), ('Polsstokhoogspringen', '2.40 m', '333', 0), ('Verspringen', '3.72 m', '412', 0), ('Hinkstapspringen', '6.90 m', '344', 0)]",False,20,0,0,3,6,8,0,11,11
Zevenkamp,Adolfsson Emelie,5155901,33,Sverige,Vrouw,150,Meerkampers,11,8,13,172,79,"[('Vijfkamp Vrouwen - 100 meter horden', '21.97 s', '512', 0), ('Vijfkamp Vrouwen - Hoogspringen', '0.28 m', '183', 0), ('Vijfkamp Vrouwen - Kogelstoten', '3.67 m', '215', 0), ('Vijfkamp Vrouwen - Verspringen', '1.23 m', '236', 0), ('Vijfkamp Vrouwen - 800 meter', '2:50.10', '480', 0), ('Zevenkamp - 100 meter horden', '22.36 s', '459', 0), ('Zevenkamp - Hoogspringen', '0.27 m', '176', 0), ('Zevenkamp - Kogelstoten', '3.66 m', '215', 0), ('Zevenkamp - 200 meter', '31.60 s', '295', 0), ('Zevenkamp - Verspringen', '1.16 m', '223', 0), ('Zevenkamp - Speerwerpen', '12.05 m', '254', 0), ('Zevenkamp - 800 meter', '2:54.50', '402', 0), ('Vijfkamp Vrouwen', '1626 p', '325', 0), ('Zevenkamp', '2024 p', '289', 0)]",False,6,4,0,2,0,0,2,4,2
Onbekend,Afinogenova Pelageya,5664998,23,Rossiya,Vrouw,1610,Zonder specialiteit,14,1,14,160,61,[],False,19,5,2,0,10,1,3,0,0
Onbekend,Afolabi Adesimbo,5665507,19,Nigeria,Vrouw,270,Zonder specialiteit,20,1,15,165,64,[],False,8,2,8,2,3,3,1,0,0
Onbekend,Aganzo Xaime,5598920,18,España,Man,540,Meerkampers,16,1,15,184,90,"[('Vijfkamp Mannen - Verspringen', '2.84 m', '444', 0), ('Vijfkamp Mannen - Speerwerpen', '31.88 m', '512', 0), ('Vijfkamp Mannen - 200 meter', '28.37 s', '507', 0), ('Vijfkamp Mannen - Discuswerpen', '27.81 m', '469', 0), ('Vijfkamp Mannen - 1500 meter', '5:00.85', '470', 0), ('Tienkamp - 100 meter', '14.17 s', '475', 0), ('Tienkamp - Verspringen', '2.83 m', '442', 0), ('Tienkamp - Kogelstoten', '7.68 m', '435', 0), ('Tienkamp - Hoogspringen', '0.77 m', '458', 0), ('Tienkamp - 400 meter', '1:03.29', '537', 0), ('Tienkamp - 110 meter horden', '20.94 s', '546', 0), ('Tienkamp - Discuswerpen', '28.37 m', '478', 0), ('Tienkamp - Polsstokhoogspringen', '2.09 m', '440', 0), ('Tienkamp - Speerwerpen', '30.67 m', '493', 0), ('Tienkamp - 1500 meter', '5:03.22', '446', 0), ('Vijfkamp Mannen', '2402 p', '480', 0), ('Tienkamp', '4750 p', '475', 0)]",False,8,6,3,1,7,4,4,8,4
1.500 meter,Agius Tyler,5592426,19,Malta,Man,1280,Middenafstandslopers,19,3,18,177,82,"[('800 meter', '2:23.06', '708', 0), ('1.500 meter', '4:43.89', '705', 0), ('3.000 meter steeplechase', '14:09.11', '704', 0)]",False,18,2,7,7,4,1,0,8,7
Onbekend,Agnantopoulos Elissaios,5652390,17,Hellas,Man,800,Sprinters,15,1,14,179,81,"[('100 meter', '13.77 s', '629', 0), ('200 meter', '27.63 s', '658', 0), ('400 meter', '1:01.48', '698', 0), ('110 meter horden', '20.57 s', '702', 0), ('400 meter horden', '1:10.69', '745', 0)]",False,14,3,0,8,7,1,3,4,8
Onbekend,Agourram Amina,5665506,24,Al-Maghrib,Vrouw,310,Zonder specialiteit,12,1,14,179,69,[],False,6,2,8,0,1,3,2,0,0
Onbekend,Agramunt Beatriz,5664442,18,España,Vrouw,170,Zonder specialiteit,16,1,14,170,63,[],False,13,0,2,3,2,3,4,0,0
Onbekend,Agramunt Carolina,5665513,17,España,Vrouw,90,Zonder specialiteit,12,1,15,153,49,[],False,11,2,2,1,3,3,4,0,0
Onbekend,Agramunt Jesús María,5638255,18,España,Man,1470,Sprinters,19,1,18,179,84,"[('100 meter', '13.52 s', '677', 0), ('200 meter', '27.10 s', '708', 0), ('400 meter', '59.58 s', '778', 0), ('110 meter horden', '20.26 s', '741', 0), ('400 meter horden', '1:09.35', '793', 0)]",False,12,2,6,8,3,2,2,9,9
Onbekend,Agrawal Apacita,5666317,16,India,Man,300,Zonder specialiteit,11,1,15,161,56,[],False,11,2,0,2,1,3,8,0,0
Onbekend,Aguayo Isabel,5636233,18,España,Vrouw,620,Zonder specialiteit,18,1,14,169,65,[],False,6,9,6,3,4,2,4,0,0
Onbekend,Aguiar Agustina,5664881,18,Portugal,Vrouw,830,Zonder specialiteit,19,1,15,171,64,[],False,11,3,8,3,3,1,9,0,0
Onbekend,Aguilar Ana Belén,5650865,18,España,Vrouw,210,Springers,16,1,14,166,64,"[('Hoogspringen', '0.56 m', '0', 0), ('Polsstokhoogspringen', '1.37 m', '0', 0), ('Verspringen', '2.07 m', '0', 0), ('Hinkstapspringen', '4.03 m', '0', 0)]",False,12,3,2,2,4,6,3,5,4
Onbekend,Aguilar Ana Rosa,5666175,20,Chile,Vrouw,650,Zonder specialiteit,20,1,15,178,69,[],False,16,3,3,8,7,4,1,0,0
Onbekend,Aguilar Ángelo,5664322,18,Ecuador,Man,240,Zonder specialiteit,19,1,15,171,67,[],False,15,0,3,3,2,2,3,0,0
Onbekend,Aguilera Abigail,5665971,18,España,Vrouw,760,Zonder specialiteit,17,1,15,153,50,[],False,13,0,3,2,3,2,10,0,0
Onbekend,Aguirre David,5664373,19,Ecuador,Man,60,Zonder specialiteit,20,1,14,162,63,[],False,7,3,2,5,2,3,2,0,0
Onbekend,Aguirre Eréndira,5664340,19,Colombia,Vrouw,850,Zonder specialiteit,18,1,14,169,65,[],False,19,3,2,6,4,3,1,0,0
Onbekend,Aguirre Leon,5665663,21,Uruguay,Man,170,Zonder specialiteit,20,1,14,192,91,[],False,12,6,4,2,3,5,1,0,0
Onbekend,Agyepong Blair,5621077,18,Great Britain,Man,960,Springers,20,1,15,181,88,"[('Hoogspringen', '0.83 m', '78', 0), ('Polsstokhoogspringen', '2.12 m', '34', 0), ('Verspringen', '3.03 m', '77', 0), ('Hinkstapspringen', '5.77 m', '30', 0)]",False,14,3,1,1,1,9,0,7,7
100 meter,Åhman Vincent,4726288,41,Sverige,Man,12060,Sprinters,14,16,13,185,66,"[('100 meter', '12.55 s', '863', 0), ('200 meter', '25.66 s', '844', 0), ('400 meter', '57.30 s', '873', 0), ('110 meter horden', '19.87 s', '789', 0), ('400 meter horden', '1:08.16', '836', 0)]",False,17,7,0,15,0,0,0,10,4
1.500 meter,Ahmed Anil,5607692,19,India,Man,2110,Middenafstandslopers,14,2,17,173,76,"[('800 meter', '2:19.61', '770', 0), ('1.500 meter', '4:39.75', '742', 0), ('3.000 meter steeplechase', '14:04.29', '718', 0)]",False,17,1,8,11,1,2,3,7,7
Onbekend,Ahmed Dirghadanstra,5665595,20,India,Man,320,Zonder specialiteit,11,1,15,166,65,[],False,9,1,3,8,1,2,3,0,0
Onbekend,Aikhionbare Olawutobi,5665427,23,Nigeria,Man,1220,Zonder specialiteit,20,1,14,180,73,[],False,17,3,2,10,2,7,1,0,0
Onbekend,Aimi Yari,5637233,18,Italia,Man,260,Snelwandelaars,18,1,15,170,78,"[('10 km snelwandelen', '1h:04:20.39', '528', 0), ('20 km snelwandelen', '2h:06:43.44', '503', 0), ('50 km snelwandelen', '5h:22:37.89', '451', 0)]",False,13,2,3,2,2,3,5,5,6
Onbekend,Aires Bruno,5662432,18,Portugal,Man,1620,Springers,13,1,16,163,65,"[('Hoogspringen', '0.78 m', '39', 0), ('Polsstokhoogspringen', '2.18 m', '52', 0), ('Verspringen', '3.15 m', '103', 0), ('Hinkstapspringen', '5.79 m', '32', 0)]",False,14,0,3,1,3,10,1,9,3
10 km snelwandelen,Aitken Maddison,5568202,18,Great Britain,Vrouw,570,Snelwandelaars,20,3,16,166,72,"[('10 km snelwandelen', '1h:09:03.22', '584', 0), ('20 km snelwandelen', '2h:20:44.54', '525', 0), ('50 km snelwandelen', '5h:49:43.75', '460', 0)]",False,11,3,6,9,5,3,0,4,4
Onbekend,Aixalà Reyes,5656861,18,España,Vrouw,630,Werpers,17,1,16,171,66,"[('Kogelstoten', '7.74 m', '41', 0), ('Discuswerpen', '28.72 m', '98', 0), ('Kogelslingeren', '24.49 m', '47', 0), ('Speerwerpen', '24.65 m', '136', 0)]",False,6,9,1,4,3,2,7,5,5
1.500 meter,Aizpuru Adelia,5562430,18,España,Vrouw,440,Middenafstandslopers,20,3,19,177,85,"[('800 meter', '2:47.60', '514', 0), ('1.500 meter', '5:37.24', '493', 0), ('3.000 meter steeplechase', '17:52.47', '563', 0)]",False,15,3,3,2,3,1,2,5,5
200 meter,Aizpuru Natalia,5158635,29,España,Vrouw,7260,Sprinters,14,7,11,165,67,"[('100 meter', '14.07 s', '787', 0), ('200 meter', '27.59 s', '794', 0), ('400 meter', '1:04.20', '796', 0), ('100 meter horden', '20.43 s', '752', 0), ('400 meter horden', '1:14.42', '829', 0)]",False,7,5,2,12,0,6,2,11,13
Onbekend,Aja Isabel,5554542,18,España,Vrouw,810,Werpers,20,1,15,164,73,"[('Kogelstoten', '6.53 m', '0', 0), ('Discuswerpen', '25.42 m', '21', 0), ('Kogelslingeren', '22.12 m', '0', 0), ('Speerwerpen', '22.70 m', '80', 0)]",False,11,4,3,4,2,1,9,5,8
Onbekend,Akabusi Jake,5535762,18,Great Britain,Man,680,Snelwandelaars,20,1,15,188,101,"[('10 km snelwandelen', '1h:04:19.82', '528', 0), ('20 km snelwandelen', '2h:05:33.37', '529', 0), ('50 km snelwandelen', '5h:20:51.51', '466', 0)]",False,18,1,7,4,4,4,4,5,6
Onbekend,Akagi Aiko,5666145,19,Nippon,Vrouw,370,Zonder specialiteit,18,1,15,176,72,[],False,7,3,3,3,3,1,9,0,0
Onbekend,Akgül Philipp,5565423,18,Deutschland,Man,2430,Sprinters,20,1,15,189,96,"[('100 meter', '13.40 s', '700', 0), ('200 meter', '26.79 s', '737', 0), ('400 meter', '58.73 s', '813', 0), ('110 meter horden', '20.26 s', '741', 0), ('400 meter horden', '1:09.02', '805', 0)]",False,13,4,2,12,4,2,2,8,7
Onbekend,Akimova Elizaveta,5635701,18,Rossiya,Vrouw,1620,Sprinters,20,1,15,165,63,"[('100 meter', '15.38 s', '555', 0), ('200 meter', '30.50 s', '533', 0), ('400 meter', '1:10.32', '560', 0), ('100 meter horden', '21.85 s', '577', 0), ('400 meter horden', '1:19.62', '658', 0)]",False,20,9,3,2,3,2,1,7,4
Onbekend,Aktas Cagdas,5665304,20,Türkiye,Vrouw,180,Zonder specialiteit,17,1,14,165,58,[],False,14,1,3,2,2,3,2,0,0
Discuswerpen,Aktseli Koralia,4746000,40,Hellas,Vrouw,8900,Werpers,15,14,17,169,56,"[('Kogelstoten', '12.88 m', '452', 0), ('Discuswerpen', '45.06 m', '483', 0), ('Kogelslingeren', '37.79 m', '386', 0), ('Speerwerpen', '34.98 m', '435', 0)]",False,18,13,0,0,0,2,13,8,7
Marathon,Alagan Ah,4855683,38,Malaysia,Man,14990,Langeafstandslopers,17,16,16,189,73,"[('5.000 meter', '16:18.44', '759', 0), ('10.000 meter', '38:15.85', '716', 0), ('Marathon', '2h:30:05.25', '864', 0)]",False,20,0,14,2,0,0,0,12,9
Onbekend,Alaja Vesa,5664232,16,Suomi,Man,100,Zonder specialiteit,20,1,14,166,64,[],False,6,3,5,1,6,3,1,0,0
Onbekend,Alameda Zoe,5656078,18,España,Vrouw,930,Springers,17,1,13,170,64,[],False,16,1,1,8,3,1,8,6,5
Onbekend,Alanis Ana,5546961,18,España,Vrouw,920,Middenafstandslopers,20,3,15,188,88,"[('800 meter', '2:47.42', '516', 0), ('1.500 meter', '5:36.28', '501', 0), ('3.000 meter steeplechase', '17:38.95', '597', 0)]",False,14,2,1,3,6,1,1,8,8
Onbekend,Alantala Dhmhtra,5665124,18,Hellas,Vrouw,1260,Zonder specialiteit,18,1,14,156,51,[],False,7,4,2,9,2,10,3,0,0
Onbekend,Alarcón Clara,5570191,18,España,Vrouw,540,Springers,15,1,15,182,84,[],False,7,2,5,1,1,2,2,8,7
Onbekend,Alatalo Katja,5624804,18,Suomi,Vrouw,880,Zonder specialiteit,20,1,15,164,60,[],False,19,3,1,2,2,2,8,0,0
Onbekend,Alaviano Gregorio,5664553,17,España,Man,1900,Zonder specialiteit,12,1,15,167,63,[],False,20,2,3,3,3,2,10,0,0
Onbekend,Albacar David,5562283,18,España,Man,930,Springers,17,1,11,180,88,[],False,17,3,8,3,3,2,3,8,5
Hoogspringen,Albaladejo Gabriel,5487649,32,España,Man,1940,Springers,20,3,16,187,77,"[('Hoogspringen', '0.91 m', '141', 0), ('Polsstokhoogspringen', '2.40 m', '115', 0), ('Verspringen', '3.35 m', '147', 0), ('Hinkstapspringen', '6.64 m', '122', 0)]",False,16,0,0,1,4,8,0,4,11
Onbekend,Albarrán Juan Diego,5665856,18,El Salvador,Man,550,Snelwandelaars,18,1,15,184,84,"[('10 km snelwandelen', '1h:04:06.01', '538', 0), ('20 km snelwandelen', '2h:05:22.09', '533', 0), ('50 km snelwandelen', '5h:20:52.51', '466', 0)]",False,8,3,3,2,7,1,1,7,7
Kogelstoten,Albedyl Kalle,5556882,27,Sverige,Man,3000,Werpers,20,2,19,172,75,"[('Kogelstoten', '9.95 m', '177', 0), ('Discuswerpen', '36.59 m', '270', 0), ('Kogelslingeren', '34.96 m', '190', 0), ('Speerwerpen', '35.97 m', '216', 0)]",False,16,10,2,3,3,3,7,11,3
110 meter horden,Alberghini Enea,5233128,27,Italia,Man,12520,Sprinters,20,6,17,181,85,"[('100 meter', '12.56 s', '861', 0), ('200 meter', '25.32 s', '876', 0), ('400 meter', '56.27 s', '916', 0), ('110 meter horden', '18.54 s', '955', 0), ('400 meter horden', '1:05.91', '916', 0)]",False,16,3,2,16,5,2,2,13,11
Onbekend,Albert Brayden,5643638,18,United States,Man,1180,Werpers,13,1,18,171,76,"[('Kogelstoten', '6.23 m', '0', 0), ('Discuswerpen', '23.97 m', '0', 0), ('Kogelslingeren', '23.96 m', '0', 0), ('Speerwerpen', '27.64 m', '32', 0)]",False,8,2,2,1,2,3,10,4,7
800 meter,Albert Francisco,5602013,18,United States,Man,780,Middenafstandslopers,17,2,13,174,81,"[('800 meter', '2:24.72', '678', 0), ('1.500 meter', '4:50.79', '642', 0), ('3.000 meter steeplechase', '14:25.21', '655', 0)]",False,16,2,4,8,0,1,2,8,6
Onbekend,Alberti Natàlia,5149831,32,España,Vrouw,760,Snelwandelaars,11,2,11,174,62,"[('10 km snelwandelen', '1h:10:20.80', '534', 0), ('20 km snelwandelen', '2h:22:23.68', '493', 0), ('50 km snelwandelen', '5h:50:02.41', '457', 0)]",False,16,0,3,0,1,2,6,7,8
Onbekend,Albertyn Steve,5664310,22,South Africa,Man,820,Zonder specialiteit,16,1,14,180,81,[],False,17,2,1,9,3,2,1,0,0
Speerwerpen,Albritton Lauren,5209992,28,United States,Vrouw,18160,Werpers,20,6,15,181,76,"[('Kogelstoten', '12.71 m', '438', 0), ('Discuswerpen', '47.19 m', '533', 0), ('Kogelslingeren', '43.09 m', '521', 0), ('Speerwerpen', '43.09 m', '670', 0)]",False,17,7,1,2,8,1,18,11,12
Onbekend,Alcañiz Marisol,5624532,18,España,Vrouw,340,Middenafstandslopers,15,1,19,167,72,"[('800 meter', '2:49.23', '487', 0), ('1.500 meter', '5:36.49', '499', 0), ('3.000 meter steeplechase', '17:51.65', '565', 0)]",False,7,5,2,3,1,6,5,7,3
Onbekend,Aldana Levi,5663692,18,España,Man,1010,Springers,12,1,15,172,74,"[('Hoogspringen', '0.84 m', '86', 0), ('Polsstokhoogspringen', '2.54 m', '156', 0), ('Verspringen', '3.60 m', '201', 0), ('Hinkstapspringen', '6.90 m', '149', 0)]",False,17,2,3,3,7,8,1,8,7
