Favoriete onderdeel,Naam,AtleetID,Leeftijd,Land,Geslacht,MaxID,Specialiteit,Humeur,Ervaring,Vorm,Lengte,Gewicht,Zorg,Kracht,Uithouding,Snelheid,Lenigheid,Springen,Werpen,SP1,SP2,Discipline,Resultaat,Punten Resultaat,Week
Onbekend,Aneiros Senén,5578379,16,España,Man,990,Werpers,20,1,15,182,83,16,9,3,5,7,1,6,4,6,Kogelslingeren,31.80 m,121,7
Onbekend,Aneiros Senén,5578379,16,España,Man,990,Werpers,20,1,15,182,83,16,9,3,5,7,1,6,4,6,Speerwerpen,35.56 m,206,7
Onbekend,Aníbal Lucrécia,5657307,16,Portugal,Vrouw,830,Meerkampers,19,1,14,167,67,9,8,1,4,9,1,1,5,5,Vijfkamp Vrouwen - 100 meter horden,21.16 s,622,8
Onbekend,Aníbal Lucrécia,5657307,16,Portugal,Vrouw,830,Meerkampers,19,1,14,167,67,9,8,1,4,9,1,1,5,5,Vijfkamp Vrouwen - Hoogspringen,0.51 m,334,8
Onbekend,Aníbal Lucrécia,5657307,16,Portugal,Vrouw,830,Meerkampers,19,1,14,167,67,9,8,1,4,9,1,1,5,5,Vijfkamp Vrouwen - Kogelstoten,5.53 m,325,8
Onbekend,Aníbal Lucrécia,5657307,16,Portugal,Vrouw,830,Meerkampers,19,1,14,167,67,9,8,1,4,9,1,1,5,5,Vijfkamp Vrouwen - Verspringen,2.05 m,394,8
Onbekend,Aníbal Lucrécia,5657307,16,Portugal,Vrouw,830,Meerkampers,19,1,14,167,67,9,8,1,4,9,1,1,5,5,Vijfkamp Vrouwen - 800 meter,2:47.88,519,8
Onbekend,Aníbal Lucrécia,5657307,16,Portugal,Vrouw,830,Meerkampers,19,1,14,167,67,9,8,1,4,9,1,1,5,5,Zevenkamp - 100 meter horden,21.39 s,591,8
Onbekend,Aníbal Lucrécia,5657307,16,Portugal,Vrouw,830,Meerkampers,19,1,14,167,67,9,8,1,4,9,1,1,5,5,Zevenkamp - Hoogspringen,0.52 m,340,8
Onbekend,Aníbal Lucrécia,5657307,16,Portugal,Vrouw,830,Meerkampers,19,1,14,167,67,9,8,1,4,9,1,1,5,5,Zevenkamp - Kogelstoten,5.76 m,338,8
Onbekend,Aníbal Lucrécia,5657307,16,Portugal,Vrouw,830,Meerkampers,19,1,14,167,67,9,8,1,4,9,1,1,5,5,Zevenkamp - 200 meter,30.41 s,415,8
Onbekend,Aníbal Lucrécia,5657307,16,Portugal,Vrouw,830,Meerkampers,19,1,14,167,67,9,8,1,4,9,1,1,5,5,Zevenkamp - Verspringen,2.14 m,411,8
Onbekend,Aníbal Lucrécia,5657307,16,Portugal,Vrouw,830,Meerkampers,19,1,14,167,67,9,8,1,4,9,1,1,5,5,Zevenkamp - Speerwerpen,19.77 m,417,8
Onbekend,Aníbal Lucrécia,5657307,16,Portugal,Vrouw,830,Meerkampers,19,1,14,167,67,9,8,1,4,9,1,1,5,5,Zevenkamp - 800 meter,2:48.11,515,8
Onbekend,Aníbal Lucrécia,5657307,16,Portugal,Vrouw,830,Meerkampers,19,1,14,167,67,9,8,1,4,9,1,1,5,5,Vijfkamp Vrouwen,2194 p,439,8
Onbekend,Aníbal Lucrécia,5657307,16,Portugal,Vrouw,830,Meerkampers,19,1,14,167,67,9,8,1,4,9,1,1,5,5,Zevenkamp,3027 p,432,8
Onbekend,Arencibia José Juan,5654384,17,España,Man,610,Langeafstandslopers,13,1,15,164,63,17,3,7,3,2,2,3,5,6,5.000 meter,18:07.27,480,7
Onbekend,Arencibia José Juan,5654384,17,España,Man,610,Langeafstandslopers,13,1,15,164,63,17,3,7,3,2,2,3,5,6,10.000 meter,41:57.58,469,7
Onbekend,Arencibia José Juan,5654384,17,España,Man,610,Langeafstandslopers,13,1,15,164,63,17,3,7,3,2,2,3,5,6,Marathon,2h:52:08.94,510,7
200 meter,Arens Jaden,5398119,22,Deutschland,Man,7640,Sprinters,20,4,16,165,71,9,11,3,14,2,2,2,11,10,100 meter,12.46 s,880,7
200 meter,Arens Jaden,5398119,22,Deutschland,Man,7640,Sprinters,20,4,16,165,71,9,11,3,14,2,2,2,11,10,200 meter,24.53 s,951,7
200 meter,Arens Jaden,5398119,22,Deutschland,Man,7640,Sprinters,20,4,16,165,71,9,11,3,14,2,2,2,11,10,400 meter,56.40 s,911,7
200 meter,Arens Jaden,5398119,22,Deutschland,Man,7640,Sprinters,20,4,16,165,71,9,11,3,14,2,2,2,11,10,110 meter horden,19.67 s,814,7
200 meter,Arens Jaden,5398119,22,Deutschland,Man,7640,Sprinters,20,4,16,165,71,9,11,3,14,2,2,2,11,10,400 meter horden,1:06.96,878,7
Onbekend,Arlati Fabiana,5615838,18,Italia,Vrouw,640,Werpers,19,1,15,160,64,9,2,3,0,5,1,8,6,8,Kogelstoten,4.75 m,0,7
Onbekend,Arlati Fabiana,5615838,18,Italia,Vrouw,640,Werpers,19,1,15,160,64,9,2,3,0,5,1,8,6,8,Discuswerpen,20.56 m,0,7
Onbekend,Arlati Fabiana,5615838,18,Italia,Vrouw,640,Werpers,19,1,15,160,64,9,2,3,0,5,1,8,6,8,Kogelslingeren,18.91 m,0,7
Onbekend,Arlati Fabiana,5615838,18,Italia,Vrouw,640,Werpers,19,1,15,160,64,9,2,3,0,5,1,8,6,8,Speerwerpen,18.82 m,0,7
Onbekend,Arnal Alexis,5656723,16,España,Man,490,Werpers,13,1,14,180,77,16,7,2,2,1,3,2,6,5,Kogelstoten,5.96 m,0,7
Onbekend,Arnal Alexis,5656723,16,España,Man,490,Werpers,13,1,14,180,77,16,7,2,2,1,3,2,6,5,Discuswerpen,21.07 m,0,7
Onbekend,Arnal Alexis,5656723,16,España,Man,490,Werpers,13,1,14,180,77,16,7,2,2,1,3,2,6,5,Kogelslingeren,20.00 m,0,7
Onbekend,Arnal Alexis,5656723,16,España,Man,490,Werpers,13,1,14,180,77,16,7,2,2,1,3,2,6,5,Speerwerpen,21.85 m,0,7
Onbekend,Arpioni Amos,5649362,16,Italia,Man,610,Werpers,18,1,15,168,64,17,3,3,2,4,2,5,4,7,Kogelstoten,4.13 m,0,7
Onbekend,Arpioni Amos,5649362,16,Italia,Man,610,Werpers,18,1,15,168,64,17,3,3,2,4,2,5,4,7,Discuswerpen,17.78 m,0,7
Onbekend,Arpioni Amos,5649362,16,Italia,Man,610,Werpers,18,1,15,168,64,17,3,3,2,4,2,5,4,7,Kogelslingeren,17.15 m,0,7
Onbekend,Arpioni Amos,5649362,16,Italia,Man,610,Werpers,18,1,15,168,64,17,3,3,2,4,2,5,4,7,Speerwerpen,19.52 m,0,7
Onbekend,Arrigoni Caterina,5539612,17,Italia,Vrouw,290,Snelwandelaars,20,2,16,186,87,11,3,6,4,3,3,2,7,3,10 km snelwandelen,1h:09:37.93,562,7
Onbekend,Arrigoni Caterina,5539612,17,Italia,Vrouw,290,Snelwandelaars,20,2,16,186,87,11,3,6,4,3,3,2,7,3,20 km snelwandelen,2h:21:38.08,508,7
Onbekend,Arrigoni Caterina,5539612,17,Italia,Vrouw,290,Snelwandelaars,20,2,16,186,87,11,3,6,4,3,3,2,7,3,50 km snelwandelen,5h:50:17.59,455,7
Onbekend,Arroyo Blas,5607335,16,España,Man,540,Langeafstandslopers,20,1,16,176,76,11,1,6,3,3,8,1,6,6,5.000 meter,18:09.75,474,7
Onbekend,Arroyo Blas,5607335,16,España,Man,540,Langeafstandslopers,20,1,16,176,76,11,1,6,3,3,8,1,6,6,10.000 meter,41:53.49,474,7
Onbekend,Arroyo Blas,5607335,16,España,Man,540,Langeafstandslopers,20,1,16,176,76,11,1,6,3,3,8,1,6,6,Marathon,2h:52:15.67,508,7
Onbekend,Arteaga Cándido,5595188,17,España,Man,2560,Langeafstandslopers,20,1,16,172,82,14,8,12,3,3,1,3,9,4,5.000 meter,17:33.25,567,7
Onbekend,Arteaga Cándido,5595188,17,España,Man,2560,Langeafstandslopers,20,1,16,172,82,14,8,12,3,3,1,3,9,4,10.000 meter,40:03.05,596,7
Onbekend,Arteaga Cándido,5595188,17,España,Man,2560,Langeafstandslopers,20,1,16,172,82,14,8,12,3,3,1,3,9,4,Marathon,2h:44:03.52,640,7
10.000 meter,Artime Natalia,5289246,27,Argentina,Vrouw,6510,Langeafstandslopers,20,9,16,160,45,14,1,13,5,3,0,1,11,10,5.000 meter,19:07.23,764,7
10.000 meter,Artime Natalia,5289246,27,Argentina,Vrouw,6510,Langeafstandslopers,20,9,16,160,45,14,1,13,5,3,0,1,11,10,10.000 meter,41:02.99,796,7
10.000 meter,Artime Natalia,5289246,27,Argentina,Vrouw,6510,Langeafstandslopers,20,9,16,160,45,14,1,13,5,3,0,1,11,10,Marathon,2h:53:35.70,817,7
Onbekend,Atlan Yasmine,5582386,17,France,Vrouw,1170,Springers,20,2,15,175,75,15,2,0,1,6,10,2,6,6,Hoogspringen,0.84 m,147,7
Onbekend,Atlan Yasmine,5582386,17,France,Vrouw,1170,Springers,20,2,15,175,75,15,2,0,1,6,10,2,6,6,Polsstokhoogspringen,2.07 m,208,7
Onbekend,Atlan Yasmine,5582386,17,France,Vrouw,1170,Springers,20,2,15,175,75,15,2,0,1,6,10,2,6,6,Verspringen,2.94 m,205,7
Onbekend,Atlan Yasmine,5582386,17,France,Vrouw,1170,Springers,20,2,15,175,75,15,2,0,1,6,10,2,6,6,Hinkstapspringen,5.72 m,187,7
Onbekend,Atmaca Özer,5626240,17,Türkiye,Man,1800,Sprinters,16,1,18,181,82,16,3,2,10,1,2,1,8,7,100 meter,13.43 s,694,7
Onbekend,Atmaca Özer,5626240,17,Türkiye,Man,1800,Sprinters,16,1,18,181,82,16,3,2,10,1,2,1,8,7,200 meter,26.91 s,726,7
Onbekend,Atmaca Özer,5626240,17,Türkiye,Man,1800,Sprinters,16,1,18,181,82,16,3,2,10,1,2,1,8,7,400 meter,59.75 s,771,7
Onbekend,Atmaca Özer,5626240,17,Türkiye,Man,1800,Sprinters,16,1,18,181,82,16,3,2,10,1,2,1,8,7,110 meter horden,20.45 s,717,7
Onbekend,Atmaca Özer,5626240,17,Türkiye,Man,1800,Sprinters,16,1,18,181,82,16,3,2,10,1,2,1,8,7,400 meter horden,1:10.06,768,7
Onbekend,Au Ryan,5651118,16,Singapore,Man,770,Springers,13,1,15,169,70,16,8,4,3,3,1,4,8,5,Hoogspringen,0.45 m,0,7
Onbekend,Au Ryan,5651118,16,Singapore,Man,770,Springers,13,1,15,169,70,16,8,4,3,3,1,4,8,5,Polsstokhoogspringen,1.53 m,0,7
Onbekend,Au Ryan,5651118,16,Singapore,Man,770,Springers,13,1,15,169,70,16,8,4,3,3,1,4,8,5,Verspringen,2.33 m,0,7
Onbekend,Au Ryan,5651118,16,Singapore,Man,770,Springers,13,1,15,169,70,16,8,4,3,3,1,4,8,5,Hinkstapspringen,4.29 m,0,7
Onbekend,Auvray Joseph,5603091,17,France,Man,1630,Middenafstandslopers,19,1,15,173,77,6,2,8,11,1,1,2,8,5,800 meter,2:19.59,770,7
Onbekend,Auvray Joseph,5603091,17,France,Man,1630,Middenafstandslopers,19,1,15,173,77,6,2,8,11,1,1,2,8,5,1.500 meter,4:38.98,749,7
Onbekend,Auvray Joseph,5603091,17,France,Man,1630,Middenafstandslopers,19,1,15,173,77,6,2,8,11,1,1,2,8,5,3.000 meter steeplechase,14:02.35,724,7
Onbekend,Ávila Édgar,5650345,17,Ecuador,Man,610,Langeafstandslopers,16,1,15,183,79,14,7,1,1,3,2,3,8,3,5.000 meter,18:46.87,378,7
Onbekend,Ávila Édgar,5650345,17,Ecuador,Man,610,Langeafstandslopers,16,1,15,183,79,14,7,1,1,3,2,3,8,3,10.000 meter,43:44.66,350,7
Onbekend,Ávila Édgar,5650345,17,Ecuador,Man,610,Langeafstandslopers,16,1,15,183,79,14,7,1,1,3,2,3,8,3,Marathon,3h:00:53.68,370,7
Onbekend,Ávila Nicolas,5634454,23,Argentina,Man,470,Springers,13,1,14,186,93,9,3,0,3,5,7,1,7,7,Hoogspringen,0.82 m,70,7
Onbekend,Ávila Nicolas,5634454,23,Argentina,Man,470,Springers,13,1,14,186,93,9,3,0,3,5,7,1,7,7,Polsstokhoogspringen,2.15 m,43,7
Onbekend,Ávila Nicolas,5634454,23,Argentina,Man,470,Springers,13,1,14,186,93,9,3,0,3,5,7,1,7,7,Verspringen,3.06 m,84,7
Onbekend,Ávila Nicolas,5634454,23,Argentina,Man,470,Springers,13,1,14,186,93,9,3,0,3,5,7,1,7,7,Hinkstapspringen,6.03 m,57,7
Onbekend,Ayala Leyre,5655935,15,Colombia,Vrouw,640,Middenafstandslopers,15,1,14,167,64,9,1,9,7,3,2,2,6,6,800 meter,2:41.89,607,7
Onbekend,Ayala Leyre,5655935,15,Colombia,Vrouw,640,Middenafstandslopers,15,1,14,167,64,9,1,9,7,3,2,2,6,6,1.500 meter,5:21.10,626,7
Onbekend,Ayala Leyre,5655935,15,Colombia,Vrouw,640,Middenafstandslopers,15,1,14,167,64,9,1,9,7,3,2,2,6,6,3.000 meter steeplechase,17:13.50,661,7
Onbekend,Bacelar Selmira,5656969,17,Portugal,Vrouw,650,Langeafstandslopers,11,1,14,171,66,10,1,9,8,2,1,2,3,6,5.000 meter,20:39.28,563,7
Onbekend,Bacelar Selmira,5656969,17,Portugal,Vrouw,650,Langeafstandslopers,11,1,14,171,66,10,1,9,8,2,1,2,3,6,10.000 meter,45:18.04,540,7
